tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-451,Doha,Hard,32,500,O,20260218,19,TE51,,,Stefanos Tsitsipas,R,193,GRE,27.524,33,1485,MM58,4,,Daniil Medvedev,R,198,RUS,30.023,11,3010,6-3 6-4,3,R16,76,4,1,60,45,36,8,10,0,0,3,4,60,39,27,10,9,5,7
2026-451,Doha,Hard,32,500,O,20260218,20,RE44,5,,Andrey Rublev,R,188,RUS,28.334,14,2510,M0CI,,,Fabian Marozsan,R,193,HUN,26.368,48,1040,6-2 6-4,3,R16,67,6,0,47,25,22,15,9,0,0,4,4,58,32,17,16,9,2,5
2026-451,Doha,Hard,32,500,O,20260218,21,M0NI,6,,Jakub Mensik,R,196,CZE,20.468,16,2425,Z371,,,Zhizhen Zhang,R,193,CHN,29.344,319,155,6-3 6-2,3,R16,66,7,1,47,30,24,12,9,0,0,2,3,57,34,21,10,8,9,12
2026-451,Doha,Hard,32,500,O,20260218,22,KE29,7,,Karen Khachanov,R,198,RUS,29.749,17,2360,F724,,,Marton Fucsovics,R,188,HUN,34.031,61,891,6-2 4-6 6-4,3,R16,121,7,1,77,55,46,10,14,5,6,6,2,85,53,39,15,14,3,6
2026-451,Doha,Hard,32,500,O,20260218,23,L0BV,8,,Jiri Lehecka,R,185,CZE,24.282,22,1860,BU13,,,Zizou Bergs,R,185,BEL,26.716,44,1080,6-2 6-1,3,R16,69,9,1,49,28,24,10,8,3,3,2,4,35,20,11,3,7,0,4
2026-451,Doha,Hard,32,500,O,20260218,24,F0F1,,,Arthur Fils,R,185,FRA,21.689,40,1110,HB64,,,Quentin Halys,R,191,FRA,29.317,72,762,6-1 7-6(7),3,R16,89,5,2,62,42,31,14,10,5,6,5,1,70,38,23,17,9,4,7
2026-499,Delray Beach,Hard,28,250,O,20260218,13,W0BH,,,Coleman Wong,R,191,HKG,21.706,137,458,N0AE,7,,Brandon Nakashima,R,188,USA,24.548,29,1535,6-4 7-6(4),3,R16,88,13,0,64,38,32,14,11,2,3,11,0,63,46,33,9,11,2,4
2026-499,Delray Beach,Hard,28,250,O,20260218,14,C0E9,3,,Flavio Cobolli,R,183,ITA,23.792,20,1955,A0GC,,,Terence Atmane,L,193,FRA,24.112,66,833,7-5 6-4,3,R16,101,9,2,67,37,32,15,11,1,2,9,4,72,38,26,16,11,4,7
2026-6932,Rio de Janeiro,Clay,32,500,O,20260218,18,T0A1,,,Thiago Agustin Tirante,R,185,ARG,24.862,92,647,C0AU,1,,Francisco Cerundolo,R,185,ARG,27.521,19,2220,6-2 3-1 RET,3,R16,73,7,0,37,24,19,8,6,1,1,0,2,52,31,14,12,6,6,9
2026-6932,Rio de Janeiro,Clay,32,500,O,20260218,19,C0C8,,,Juan Manuel Cerundolo,L,183,ARG,24.263,78,706,H997,,,Yannick Hanfmann,R,193,GER,34.27,90,653,6-4 6-7(1) 6-4,3,R16,169,9,3,91,64,42,15,16,1,4,6,3,115,72,47,20,16,9,14
2026-6932,Rio de Janeiro,Clay,32,500,O,20260218,20,KI82,,,Vit Kopriva,R,178,CZE,28.682,87,660,B0FV,,,Roman Andres Burruchaga,R,183,ARG,24.074,102,580,6-3 6-1,3,R16,88,3,2,59,38,26,14,8,6,6,6,2,53,29,19,9,8,4,8
2026-499,Delray Beach,Hard,28,250,O,20260219,15,RH16,2,,Casper Ruud,R,183,NOR,27.162,13,2625,GC88,,,Marcos Giron,R,180,USA,32.575,64,855,4-6 7-6(6) 6-4,3,R16,142,20,0,105,75,55,18,16,3,4,9,2,94,63,48,20,16,5,6
2026-499,Delray Beach,Hard,28,250,O,20260219,16,K0AH,,,Sebastian Korda,R,196,USA,25.626,50,1020,M0QI,,,Alex Michelsen,R,193,USA,21.487,41,1110,6-3 7-6(6),3,R16,106,10,2,70,44,34,12,10,5,7,7,2,85,66,42,9,11,9,13
2026-6932,Rio de Janeiro,Clay,32,500,O,20260219,21,TE30,,,Alejandro Tabilo,L,188,CHI,28.717,68,808,P0CT,,,Francesco Passaro,R,180,ITA,25.117,163,376,4-6 7-6(0) 6-2,3,R16,141,4,0,78,50,43,15,15,4,6,4,1,96,68,43,15,15,5,8
2026-451,Doha,Hard,32,500,O,20260219,25,F0F1,,,Arthur Fils,R,185,FRA,21.689,40,1110,L0BV,8,,Jiri Lehecka,R,185,CZE,24.282,22,1860,6-3 6-3,3,QF,89,3,0,67,46,32,8,9,4,6,2,2,69,45,23,10,9,5,10
2026-451,Doha,Hard,32,500,O,20260219,26,RE44,5,,Andrey Rublev,R,188,RUS,28.334,14,2510,TE51,,,Stefanos Tsitsipas,R,193,GRE,27.524,33,1485,6-3 7-6(2),3,QF,95,5,2,71,43,34,16,10,5,5,8,1,61,39,31,9,11,0,2
2026-451,Doha,Hard,32,500,O,20260219,27,A0E2,1,,Carlos Alcaraz,R,183,ESP,22.795,1,13150,KE29,7,,Karen Khachanov,R,198,RUS,29.749,17,2360,6-7(3) 6-4 6-3,3,QF,146,8,2,91,64,49,18,15,3,3,4,2,111,78,55,18,16,7,10
2026-451,Doha,Hard,32,500,O,20260219,28,M0NI,6,,Jakub Mensik,R,196,CZE,20.468,16,2425,S0AG,2,,Jannik Sinner,R,191,ITA,24.512,2,10300,7-6(3) 2-6 6-3,3,QF,131,11,4,85,60,49,9,14,5,7,6,1,90,57,41,21,15,2,4
2026-499,Delray Beach,Hard,28,250,O,20260219,17,T0HA,4,,Learner Tien,L,180,USA,20.216,23,1710,KI95,,,Miomir Kecmanovic,R,183,SRB,26.472,83,670,6-4 6-7(4) 7-6(5),3,R16,135,20,5,105,65,55,20,17,5,7,12,2,120,76,54,24,17,5,8
2026-6932,Rio de Janeiro,Clay,32,500,O,20260219,22,F0F2,,,Jaime Faria,R,188,POR,22.541,147,425,D923,,,Damir Dzumhur,R,175,BIH,33.752,62,877,7-6(1) 6-4,3,R16,123,2,2,65,37,31,17,11,1,2,1,2,75,51,34,13,11,9,11
2026-499,Delray Beach,Hard,28,250,O,20260220,18,FB98,1,,Taylor Fritz,R,196,USA,28.315,8,4220,J0DZ,,,Rafael Jodar,R,191,ESP,19.428,118,523,7-6(4) 6-4,3,R16,106,15,0,68,49,41,8,11,2,3,3,0,94,67,41,15,11,6,8
2026-499,Delray Beach,Hard,28,250,O,20260220,19,PL56,5,,Tommy Paul,R,185,USA,28.764,24,1700,W09E,,,Adam Walton,R,183,AUS,26.847,93,643,7-6(11) 6-3,3,R16,97,10,2,69,42,34,16,11,0,1,7,0,76,56,33,13,10,6,8
2026-499,Delray Beach,Hard,28,250,O,20260220,20,TD51,8,,Frances Tiafoe,R,188,USA,28.085,28,1550,S0K7,,,Zachary Svajda,R,175,USA,23.228,106,563,6-4 3-6 7-5,3,R16,141,5,3,91,57,44,20,15,5,6,14,4,111,69,49,23,16,3,5
2026-6932,Rio de Janeiro,Clay,32,500,O,20260220,23,B0ID,,,Ignacio Buse,R,183,PER,21.908,91,648,F0FV,3,,Joao Fonseca,R,188,BRA,19.502,38,1190,5-7 6-3 6-4,3,R16,146,8,5,96,59,45,21,16,8,9,2,3,90,55,40,20,15,4,6
2026-6932,Rio de Janeiro,Clay,32,500,O,20260220,24,EA24,8,,Tomas Martin Etcheverry,R,196,ARG,26.595,51,1020,G0FW,,,Vilius Gaubas,R,178,LTU,21.144,126,490,7-6(1) 6-4,3,R16,127,7,0,67,47,32,12,11,0,2,1,3,74,60,36,5,11,2,5
2026-6932,Rio de Janeiro,Clay,32,500,O,20260220,25,BK40,,,Matteo Berrettini,R,196,ITA,29.859,57,910,L987,,,Dusan Lajovic,R,183,SRB,35.644,129,485,3-6 6-4 6-2,3,R16,129,7,3,78,56,44,9,13,4,6,6,0,89,64,41,13,14,4,8
2026-451,Doha,Hard,32,500,O,20260220,29,A0E2,1,,Carlos Alcaraz,R,183,ESP,22.798,1,13150,RE44,5,,Andrey Rublev,R,188,RUS,28.337,14,2510,7-6(3) 6-4,3,SF,122,3,2,96,65,40,15,11,9,13,1,1,78,46,29,13,11,6,11
2026-451,Doha,Hard,32,500,O,20260220,30,F0F1,,,Arthur Fils,R,185,FRA,21.692,40,1110,M0NI,6,,Jakub Mensik,R,196,CZE,20.471,16,2425,6-4 7-6(4),3,SF,95,5,1,81,54,39,16,11,7,8,8,5,63,37,30,13,11,3,5
2026-499,Delray Beach,Hard,28,250,O,20260220,21,C0E9,3,,Flavio Cobolli,R,183,ITA,23.795,20,1955,W0BH,,,Coleman Wong,R,191,HKG,21.708,137,458,7-5 6-7(7) 6-2,3,QF,134,11,0,92,49,40,29,16,2,3,15,2,105,62,42,25,16,4,8
2026-6932,Rio de Janeiro,Clay,32,500,O,20260220,26,KI82,,,Vit Kopriva,R,178,CZE,28.684,87,660,C0C8,,,Juan Manuel Cerundolo,L,183,ARG,24.266,78,706,6-4 6-4,3,QF,97,6,4,54,37,32,8,10,0,0,3,4,73,48,31,13,10,6,8
2026-499,Delray Beach,Hard,28,250,O,20260221,22,PL56,5,,Tommy Paul,R,185,USA,28.767,24,1700,FB98,1,,Taylor Fritz,R,196,USA,28.318,8,4220,6-4 6-3,3,QF,76,6,0,56,41,34,7,9,3,3,10,3,70,52,34,6,10,8,11
2026-499,Delray Beach,Hard,28,250,O,20260221,23,K0AH,,,Sebastian Korda,R,196,USA,25.632,50,1020,RH16,2,,Casper Ruud,R,183,NOR,27.168,13,2625,4-6 6-2 6-2,3,QF,126,10,3,81,47,34,20,13,3,4,3,1,92,58,36,16,13,4,8
2026-499,Delray Beach,Hard,28,250,O,20260221,24,T0HA,4,,Learner Tien,L,180,USA,20.222,23,1710,TD51,8,,Frances Tiafoe,R,188,USA,28.088,28,1550,7-6(5) 3-6 7-5,3,QF,139,13,3,97,64,44,13,16,7,13,11,1,98,64,42,17,17,1,7
2026-6932,Rio de Janeiro,Clay,32,500,O,20260221,27,TE30,,,Alejandro Tabilo,L,188,CHI,28.723,68,808,T0A1,,,Thiago Agustin Tirante,R,185,ARG,24.868,92,647,7-6(2) 6-7(6) 6-1,3,QF,172,7,3,97,65,53,17,16,0,2,12,1,106,64,44,21,15,4,8
2026-6932,Rio de Janeiro,Clay,32,500,O,20260221,28,EA24,8,,Tomas Martin Etcheverry,R,196,ARG,26.598,51,1020,F0F2,,,Jaime Faria,R,188,POR,22.546,147,425,7-6(4) 6-4,3,QF,123,9,1,73,50,40,10,11,5,5,9,2,67,42,31,13,11,1,2
2026-6932,Rio de Janeiro,Clay,32,500,O,20260221,29,B0ID,,,Ignacio Buse,R,183,PER,21.911,91,648,BK40,,,Matteo Berrettini,R,196,ITA,29.862,57,910,6-3 2-6 6-3,3,QF,139,3,1,78,51,37,17,13,4,6,9,2,83,55,40,12,13,4,7
